,Unnamed: 0,raw_row_number,date,time,location,lat,lng,district,substation,subject_age,subject_race,subject_sex,type,violation,arrest_made,citation_issued,outcome,contraband_found,search_conducted,search_basis,speed,posted_speed,vehicle_color,vehicle_make,vehicle_model,vehicle_registration_state,vehicle_year,raw_race,raw_posted_speed,raw_actual_speed,raw_search_reason,raw_contraband_or_evidence,raw_custodial_arrest_made
56867,56867,352806,2013-05-17,10:40:00,0000500  BANDERA                                                                                             RD,29.4517382,-98.5477797,5220.0,WEST,30.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,42.0,42.0,YELLOW,HUMM,H2,TX,2003.0,W,--,--,,,
9837,9837,1307813|1307814,2018-01-08,12:07:00,0009000  US HWY 281 N,29.62358,-98.4615753,3150.0,NORTH,25.0,hispanic,female,vehicular,SPEEDING-POSTED LIMIT|FAILURE TO DISPLAY VALID REGISTRATION INSIGNIA (STICKER),False,True,citation,,False,,79.0,79.0,SILVER,KIA,PDF,TX,2013.0,H,--|-,--|-,,,
24724,24724,244700|244701,2012-11-05,12:57:00,0007600  BLANCO                                                                                              RD,29.530550800000004,-98.505742,3110.0,NORTH,27.0,white,male,vehicular,USE OF HAND-HELD MOBILE COMMUNICATION DEVICE|DRIVING WHILE LICENSE INVALID,False,True,citation,,False,,,,BLACK,PDF,PDF,TX,2008.0,W,-,-,,,
11594,11594,1171758,2017-04-04,17:16:00,0011800  CULEBRA                                                                                             RD,29.5062005,-98.736188,5350.0,WEST,25.0,white,male,vehicular,OBEDIENCE TO RAISED PAVEMENT MARKERS,False,True,citation,,False,,,,BLACK,PDF,PDF,TX,2015.0,W,-,-,,,
55266,55266,1206453,2017-06-13,10:50:00,0011000  STATE HWY 151,29.459060600000004,-98.6914779,5360.0,WEST,39.0,hispanic,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,78.0,78.0,GRAY,TOY,4RUN,TX,2016.0,H,--,--,,,
10003,10003,538828,2014-02-09,17:25:00,0001000NELOOP 410,29.5204208,-98.4897358,3320.0,NORTH,25.0,white,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,86.0,86.0,BLACK,KIA,PDF,TX,2013.0,W,--,--,,,
36150,36150,867871,2015-08-20,12:35:00,0000000  IH 35 S,29.3528029,-98.5290482,6150.0,SOUTH,39.0,hispanic,female,vehicular,IMPROPER LANE CHANGE -SIGNAL,False,True,citation,,False,,,,BLACK,TOY,HIG,TX,2005.0,H,-,-,,,
59738,59738,1307834,2018-01-08,11:17:00,0010300  IH 10 W ACCESS                                                                                      RD,29.5948604,-97.9786277,,,54.0,white,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,67.0,67.0,GRAY,BMW,X5,TX,2013.0,W,--,--,,,
6620,6620,650591|650592,2014-07-17,13:25:00,N IH 35,29.5050817,-98.3987269,4330.0,EAST,42.0,hispanic,male,vehicular,SPEEDING-POSTED LIMIT|FOLLOWING TOO CLOSELY,False,True,citation,,False,,68.0,68.0,GRAY,FORD,F150,TX,2012.0,H,--|-,--|-,No Search,No,No
49625,49625,498914,2013-12-08,10:32:00,0004200  IH 35 N ACCESS                                                                                      RD,29.3823745,-98.5122472,6210.0,SOUTH,45.0,black,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,65.0,65.0,BLACK,FORD,F350,TX,2013.0,B,--,--,,,
16895,16895,162028,2012-04-10,19:48:00,0004000  IH 35 N,29.6648696,-98.1680624,,,35.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,74.0,74.0,BLACK,GMC,YUK,TX,2004.0,W,--,--,,,
64946,64946,650892,2014-07-17,07:59:00,0017000  IH 10 W ACCESS                                                                                      RD,29.5948604,-97.9786277,,,66.0,hispanic,male,vehicular,RESTRICTED ACCESS ENTERING/EXITING CONTROLLED ACCESS ROADWAY,False,True,citation,,False,,,,WHITE,FORD,E350,TX,2001.0,H,-,-,,,
25497,25497,1181091,2017-04-20,12:27:00,1200   E COMMERCE,29.4215038,-98.4777678,4120.0,EAST,32.0,black,male,vehicular,FAIL TO STOP - RAILROAD CROSSING,False,True,citation,,False,,,,TURQUOISE,PDF,PDF,TX,2001.0,B,-,-,No Search,No,No
55071,55071,1029038,2016-06-22,12:12:00,0008500N LOOP 1604 W,29.5745409,-98.6468013,7350.0,PRUE,45.0,black,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,81.0,81.0,WHITE,LEXU,GX,TX,2015.0,B,--,--,,,
47924,47924,485796,2013-11-15,13:28:00,0009700  COMMERCE W,29.436119800000004,-98.6213828,5160.0,WEST,43.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,58.0,58.0,DARK GREY,TOY,HIG,TX,2009.0,W,--,--,,,
43471,43471,1051162,2016-08-02,12:24:00,0000000NELOOP 410,29.520108500000003,-98.49136260000002,3320.0,NORTH,22.0,hispanic,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,95.0,95.0,BLACK,VW,JETT,TX,2014.0,H,--,--,,,
16836,16836,437269,2013-09-14,22:35:00,13900    NACOGDOCHES                                                                                         RD,29.5668751,-98.3859865,3210.0,NORTH,45.0,white,male,vehicular,IMPROPER LANE CHANGE -SIGNAL,False,True,citation,,False,,,,BLUE,GMC,YUK,TX,2004.0,W,-,-,No Search,No,No
42229,42229,978752,2016-03-03,15:48:00,0000000  IH 37,29.362938,-98.4447572,6240.0,SOUTH,49.0,hispanic,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,85.0,85.0,GRAY,ACUR,TSX,TX,2006.0,H,--,--,,,
31680,31680,322250|322251,2013-03-28,20:32:00,0007400  IH 35 N,29.5018809,-98.3985141,,,24.0,white,male,vehicular,FOLLOWING TOO CLOSELY|SPEEDING-POSTED LIMIT,False,True,citation,,False,,76.0,76.0,SILVER,INFI,G35,TX,2008.0,W,-|--,-|--,,,
26388,26388,1230329,2017-07-30,00:00:00,1400   W HILDEBRAND,29.4662065,-98.5169872,5240.0,WEST,56.0,hispanic,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,50.0,50.0,RED,TOY,PDF,TX,2017.0,H,--,--,No Search,No,No
1225,1225,143626,2012-03-01,16:52:00,0004700  IH 35N ACCESS,29.3795562,-98.512713,6210.0,SOUTH,53.0,black,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,58.0,58.0,BLUE,GMC,YUK,TX,2005.0,B,--,--,,,
32012,32012,1086165,2016-10-05,13:32:00,0006400  STATE HWY 151,29.4320867,-98.6135347,5150.0,WEST,19.0,hispanic,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,81.0,81.0,BLACK,ACUR,TL,TX,2012.0,H,--,--,,,
30967,30967,1306321,2018-01-04,12:53:00,0008600  US 281 N,29.4247962,-98.4816434,2110.0,CENTRAL,39.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,89.0,89.0,DARK BLUE,AUDI,A4,TX,2003.0,W,--,--,,,
42120,42120,1146305,2017-02-17,11:45:00,0008300W LOOP 1604 N,29.5270472,-98.6877729,7360.0,PRUE,64.0,black,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,85.0,85.0,MAROON,TOY,HIG,TX,2014.0,B,--,--,,,
50159,50159,949599,2016-01-14,22:16:00,0007000  IH 35 S,29.35776,-98.524687,6230.0,SOUTH,20.0,hispanic,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,76.0,76.0,BLACK,ACUR,TL,TX,2007.0,H,--,--,,,
22534,22534,203783,2012-08-10,16:59:00,0003200NWLOOP 410 ACCESS                                                                                     RD,29.3981506,-98.649908,5340.0,WEST,23.0,hispanic,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,64.0,64.0,BLACK,CHEV,HHR,TX,2007.0,H,--,--,,,
9721,9721,1228939,2017-07-27,17:07:00,0003700N ST MARY'S                                                                                           ST,29.4594157,-98.477353,2230.0,CENTRAL,25.0,hispanic,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,38.0,38.0,SILVER,PONT,G6,TX,2008.0,H,--,--,,,
